My Sites/My Suppliers' site,Customer code,Customer name,Supplier code,Supplier name,Customer supplier reference,Site code,Site name,Site country,Customer site reference,Trading relationship type,Business type,Site functions,Primary site activity,Direct supplier code,Direct supplier name,Audit code,Audit company name,Audit company type,Audit date,Audit submission date,Audit published date,Workflow status,Audit nature,Is SMETA audit?,Which code was this based on?,Audit schedule type,Audit scope,Auditor uploads,Is most recent audit?,Is Sedex virtual assessment?,Audit finding code,Finding title code,Finding created date,New or carried over,Finding type,Finding criticality,Custom criticality,Finding category,Finding sub-category,Finding title,Finding description,Finding status,Number of days at this status,Is finding open?,Recommended completion date,Is finding overdue?,Days overdue,Corrective action date,Corrective action status,Parent finding code,Superseded by audit code,Audit superseded date,Verification method,Verified date,Parent audit code,Verified by audit code
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,c2cb4e78-af36-4929-b32d-0666587a3fe7,ZAI2000305,03/02/2023,New,Good example,,,0. Management Systems,Site's Management systems & Monitoring,Site has comprehensive labour policies in place,Document Review,Created,47,FALSE,,Not overdue,,,,,,,,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,d61ec8f3-3817-4110-a7d9-26b79cf5e95a,ZAI2110202,03/02/2023,New,Non-compliance,Critical,,10b. Environment,"General Environmental Permits, & Management systems","The site does not have all legally required permits for use and / or disposal of resources e.g. energy, water, air emissions, waste etc.",,Created,47,TRUE,04/04/2023,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,eea00a62-3fc4-4657-922e-adea364d0429,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,f2e3d0bf-c665-468b-b507-3d1283767254,ZAI2000319,03/02/2023,New,Good example,,,0. Management Systems,Site's Management systems & Monitoring,Presence of internal audits to support site's performance and continual improvement ,Document Review,Created,47,FALSE,,Not overdue,,,,,,,,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,fcb03be4-0948-43dc-a2ba-10c9ca384b74,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,fd775497-bfd1-4a44-9f83-f8208efbd160,ZAI2031401,03/02/2023,New,Non-compliance,Critical,,"3. Health, safety & hygiene",Personal Protective Equipment/Clothing,Workers are not issued with appropriate Personal Protective Equipment (PPE),,Created,47,TRUE,10/03/2023,Overdue,-5,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013708,ZAI2031208,03/02/2023,New,Non-compliance,Minor,,"3. Health, safety & hygiene",Building/Site Maintenance,Premises require minor repairs that may affect personal safety (e.g. missing handrails),,Verified,47,FALSE,21/04/2023,Not overdue,,20/02/2023,Closed,,,,Desktop,20/02/2023,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013709,ZAI2031401,03/02/2023,New,Non-compliance,Critical,,"3. Health, safety & hygiene",Personal Protective Equipment/Clothing,Workers are not issued with appropriate Personal Protective Equipment (PPE),,Verified,47,FALSE,22/03/2023,Not overdue,,20/02/2023,Closed,,,,Desktop,20/02/2023,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013710,ZAI2030902,03/02/2023,New,Non-compliance,Critical,,"3. Health, safety & hygiene","Fire Safety - Licenses, Inspections & Training","Fire licence, inspection, or certificates not in place as required by law",,Verified,47,FALSE,22/03/2023,Not overdue,,20/02/2023,Closed,,,,Desktop,20/02/2023,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013711,ZAI2031831,03/02/2023,New,Non-compliance,Minor,,"3. Health, safety & hygiene",Accommodation Living Conditions,First aid kits not available in workers' accommodation,,Verified,47,FALSE,21/04/2023,Not overdue,,20/02/2023,Closed,,,,Desktop,20/02/2023,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013712,ZAI2110202,03/02/2023,New,Non-compliance,Critical,,10b. Environment,"General Environmental Permits, & Management systems","The site does not have all legally required permits for use and / or disposal of resources e.g. energy, water, air emissions, waste etc.",,Verified,47,FALSE,21/04/2023,Not overdue,,20/02/2023,Closed,,,,Desktop,20/02/2023,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013713,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Verified,47,FALSE,,Not overdue,,20/02/2023,Closed,,,,Desktop,20/02/2023,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013714,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013715,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013716,ZAI2000407,03/02/2023,New,Observation,,,0. Management Systems,Site's Systems to Manage Supplier Compliance,No / inadequate system in place to monitor the site's own suppliers against social standards,,Created,47,FALSE,,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013717,ZAI2000305,03/02/2023,New,Good example,,,0. Management Systems,Site's Management systems & Monitoring,Site has comprehensive labour policies in place,Document Review,Created,47,FALSE,,Not overdue,,,,,,,,,,
my_suppliers_sites,ZC1091964,B&Q - Decorative,ZC419710854,PRISM JOHNSON LIMITED,,ZS419781637,CORAL GOLD TILES PRIVATE LIMITED UNIT 2,India,,Direct,Goods Provider,,Manufacture of other porcelain and ceramic products, , ,ZAA600003101,BUREAU VERITAS CPS - ASIA,Null,03/02/2023,09/02/2023,11/02/2023,Published,Full Initial Audit,TRUE,,Announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600013718,ZAI2000319,03/02/2023,New,Good example,,,0. Management Systems,Site's Management systems & Monitoring,Presence of internal audits to support site's performance and continual improvement ,Document Review,Created,47,FALSE,,Not overdue,,,,,,,,,,
my_suppliers_sites,ZC1092223,Kingfisher GSNFR,ZC1084060,NINGBO HUAYI GARMENTS CO LTD,B&Q uniforms - production site linked via Dimensions,ZS1029289,Ningbo Huayi Garments CO LTD,China,B&Q uniforms - production site linked via Dimensions,Indirect,Goods Provider,Factory Processing / Manufacturer,"Manufacture of wearing apparel (clothing), except fur apparel",ZC1029209,Mi Hub Ltd,ZAA600003292,ELEVATE,Null,06/02/2023,14/02/2023,14/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,0c859325-9c91-4f39-93a4-6c99f1c89a60,ZAI2110114,07/02/2023,New,Non-compliance,Minor,,10b. Environment,"General Environmental Permits, & Management systems",Site has an environmental policy in place but does not communicate it to its suppliers,,Created,43,TRUE,08/04/2023,Not overdue,,,,,,,Desktop,,,
my_suppliers_sites,ZC1092223,Kingfisher GSNFR,ZC1084060,NINGBO HUAYI GARMENTS CO LTD,B&Q uniforms - production site linked via Dimensions,ZS1029289,Ningbo Huayi Garments CO LTD,China,B&Q uniforms - production site linked via Dimensions,Indirect,Goods Provider,Factory Processing / Manufacturer,"Manufacture of wearing apparel (clothing), except fur apparel",ZC1029209,Mi Hub Ltd,ZAA600003292,ELEVATE,Null,06/02/2023,14/02/2023,14/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,126ceee4-a6c4-4ba5-a7da-5554f2778d83,ZAI2060302,07/02/2023,New,Non-compliance,Major,,6. Working Hours,Overtime,"Overtime is not used responsibly i.e. extent, frequency and level of hours worked by individual workers and / or whole workforce are excessive",,Created,43,TRUE,13/04/2023,Not overdue,,,,,,,Follow up,,,
my_suppliers_sites,ZC1092223,Kingfisher GSNFR,ZC1084060,NINGBO HUAYI GARMENTS CO LTD,B&Q uniforms - production site linked via Dimensions,ZS1029289,Ningbo Huayi Garments CO LTD,China,B&Q uniforms - production site linked via Dimensions,Indirect,Goods Provider,Factory Processing / Manufacturer,"Manufacture of wearing apparel (clothing), except fur apparel",ZC1029209,Mi Hub Ltd,ZAA600003292,ELEVATE,Null,06/02/2023,14/02/2023,14/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,e62f5c98-d395-40f6-9413-fb8280266b80,ZAI2031407,07/02/2023,New,Non-compliance,Major,,"3. Health, safety & hygiene",Personal Protective Equipment/Clothing,Personal Protective Equipment (PPE) provided but incidents of workers not using PPE where appropriate,,Created,43,TRUE,09/03/2023,Overdue,-6,,,,,,Desktop,,,
my_suppliers_sites,ZC1092223,Kingfisher GSNFR,ZC1084060,NINGBO HUAYI GARMENTS CO LTD,B&Q uniforms - production site linked via Dimensions,ZS1029289,Ningbo Huayi Garments CO LTD,China,B&Q uniforms - production site linked via Dimensions,Indirect,Goods Provider,Factory Processing / Manufacturer,"Manufacture of wearing apparel (clothing), except fur apparel",ZC1029209,Mi Hub Ltd,ZAA600003292,ELEVATE,Null,06/02/2023,14/02/2023,14/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600015543,ZAI2031407,07/02/2023,New,Non-compliance,Major,,"3. Health, safety & hygiene",Personal Protective Equipment/Clothing,Personal Protective Equipment (PPE) provided but incidents of workers not using PPE where appropriate,,Rejected,43,TRUE,14/04/2023,Not overdue,,,Rejected,,,,Desktop,,,
my_suppliers_sites,ZC1092223,Kingfisher GSNFR,ZC1084060,NINGBO HUAYI GARMENTS CO LTD,B&Q uniforms - production site linked via Dimensions,ZS1029289,Ningbo Huayi Garments CO LTD,China,B&Q uniforms - production site linked via Dimensions,Indirect,Goods Provider,Factory Processing / Manufacturer,"Manufacture of wearing apparel (clothing), except fur apparel",ZC1029209,Mi Hub Ltd,ZAA600003292,ELEVATE,Null,06/02/2023,14/02/2023,14/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600015544,ZAI2060302,07/02/2023,New,Non-compliance,Major,,6. Working Hours,Overtime,"Overtime is not used responsibly i.e. extent, frequency and level of hours worked by individual workers and / or whole workforce are excessive",,Pending auditor review,43,TRUE,13/05/2023,Not overdue,,,Raised,,,,Follow up,,,
my_suppliers_sites,ZC1092223,Kingfisher GSNFR,ZC1084060,NINGBO HUAYI GARMENTS CO LTD,B&Q uniforms - production site linked via Dimensions,ZS1029289,Ningbo Huayi Garments CO LTD,China,B&Q uniforms - production site linked via Dimensions,Indirect,Goods Provider,Factory Processing / Manufacturer,"Manufacture of wearing apparel (clothing), except fur apparel",ZC1029209,Mi Hub Ltd,ZAA600003292,ELEVATE,Null,06/02/2023,14/02/2023,14/03/2023,Published,Full Initial Audit,TRUE,,Semi-announced,"1. Labour Standards, 2. Health & Safety, 3. Environment, 4. Business Ethics",TRUE,TRUE,FALSE,ZAF600015545,ZAI2110114,07/02/2023,New,Non-compliance,Minor,,10b. Environment,"General Environmental Permits, & Management systems",Site has an environmental policy in place but does not communicate it to its suppliers,,Verified,43,FALSE,14/05/2023,Not overdue,,15/03/2023,Closed,,,,Desktop,15/03/2023,,
